Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FGP;ThreeP;ThreePA;ThreePP;TwoP;TwoPA;TwoPP;eFGP;FT;FTA;FTP;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;NOM;APE;IMG;IMGT;;
223;Jay Huff;C;24;WAS;7;0;13.6;2.1;3.6;.600;0.9;1.7;.500;1.3;1.9;.692;.720;2.1;2.3;.938;0.9;2.1;3;1.4;0.4;0.6;0.7;2.1;7.3;ja;huff;https://www.basketball-reference.com/req/202106291/images/headshots/huffja01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/WAS-2023.png;;
193;Montrezl Harrell;C;29;PHI;57;7;11.9;2.2;3.7;.598;0;0.1;.000;2.2;3.6;.616;.598;1.2;1.8;.693;1.2;1.6;2.8;0.6;0.3;0.4;0.6;1.3;5.6;mo;harre;https://www.basketball-reference.com/req/202106291/images/headshots/harremo01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/PHI-2023.png;;
2;Steven Adams;C;29;MEM;42;42;27;3.7;6.3;.597;0;0;.000;3.7;6.2;.599;.597;1.1;3.1;.364;5.1;6.5;11.5;2.3;0.9;1.1;1.9;2.3;8.6;st;adams;https://www.basketball-reference.com/req/202106291/images/headshots/adamsst01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/MEM-2023.png;;
155;Wenyen Gabriel;C;25;LAL;68;2;15.1;2.3;3.8;.596;0.1;0.5;.278;2.1;3.3;.647;.615;0.8;1.2;.619;1.7;2.5;4.2;0.5;0.4;0.5;0.7;2.1;5.5;we;gabri;https://www.basketball-reference.com/req/202106291/images/headshots/gabriwe01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/LAL-2023.png;;
382;Gary Payton II;SG;30;TOT;22;1;16.7;1.9;3.1;.594;0.6;1.2;.500;1.3;2;.651;.688;0.3;0.3;.857;1.1;2;3.1;1.4;1;0.2;0.7;2;4.6;ga;payto;https://www.basketball-reference.com/req/202106291/images/headshots/paytoga01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/TOT-2023.png;;
41;Khem Birch;C;30;TOR;20;0;8.1;1;1.6;.594;0.1;0.1;.500;0.9;1.5;.600;.609;0.2;0.3;.800;0.4;0.9;1.3;0.4;0.3;0.3;0.4;1.2;2.2;kh;birch;https://www.basketball-reference.com/req/202106291/images/headshots/birchkh01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/TOR-2023.png;;
537;Omer Yurtseven;C;24;MIA;9;0;9.2;1.8;3;.593;0.3;0.8;.429;1.4;2.2;.650;.648;0.6;0.7;.833;0.9;1.7;2.6;0.2;0.2;0.2;0.4;1.8;4.4;om;yurts;https://www.basketball-reference.com/req/202106291/images/headshots/yurtsom01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/MIA-2023.png;;
409;Paul Reed;C;23;PHI;69;2;10.9;1.8;3;.593;0;0.1;.167;1.8;2.9;.606;.596;0.6;0.7;.745;1.6;2.2;3.8;0.4;0.7;0.7;0.7;1.8;4.2;pa;reed;https://www.basketball-reference.com/req/202106291/images/headshots/reedpa01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/PHI-2023.png;;
115;Dewayne Dedmon;C;33;PHI;8;1;9.5;1.6;2.8;.591;0.1;0.3;.500;1.5;2.5;.600;.614;0.1;0.6;.200;0.8;2.4;3.1;1.3;0.3;0.6;0.8;1.8;3.5;de;dedmo;https://www.basketball-reference.com/req/202106291/images/headshots/dedmode01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/PHI-2023.png;;
331;Chimezie Metu;PF;25;SAC;66;0;10.4;2;3.3;.589;0.1;0.6;.237;1.8;2.7;.663;.610;0.8;1.1;.740;0.7;2.3;3;0.6;0.3;0.3;0.5;1.2;4.9;ch;metu;https://www.basketball-reference.com/req/202106291/images/headshots/metuch01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/SAC-2023.png;;
